CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),Cluster,Persona
102,Female,49,62,48,1,Average Customers
103,Male,67,62,59,4,Affluent Conservatives
104,Male,26,62,55,3,High-Value Trendsetters
105,Male,49,62,56,4,Affluent Conservatives
106,Female,21,62,42,0,Young Enthusiasts
107,Female,66,63,50,2,Cautious Seniors
108,Male,54,63,46,4,Affluent Conservatives
109,Male,68,63,43,4,Affluent Conservatives
110,Male,66,63,48,4,Affluent Conservatives
111,Male,65,63,52,4,Affluent Conservatives
112,Female,19,63,54,0,Young Enthusiasts
113,Female,38,64,42,1,Average Customers
114,Male,19,64,46,3,High-Value Trendsetters
115,Female,18,65,48,0,Young Enthusiasts
116,Female,19,65,50,0,Young Enthusiasts
117,Female,63,65,43,2,Cautious Seniors
118,Female,49,65,59,1,Average Customers
119,Female,51,67,43,1,Average Customers
120,Female,50,67,57,1,Average Customers
121,Male,27,67,56,3,High-Value Trendsetters
122,Female,38,67,40,1,Average Customers
123,Female,40,69,58,1,Average Customers
124,Male,39,69,91,3,High-Value Trendsetters
125,Female,23,70,29,1,Average Customers
126,Female,31,70,77,0,Young Enthusiasts
127,Male,43,71,35,4,Affluent Conservatives
128,Male,40,71,95,3,High-Value Trendsetters
129,Male,59,71,11,4,Affluent Conservatives
130,Male,38,71,75,3,High-Value Trendsetters
131,Male,47,71,9,4,Affluent Conservatives
132,Male,39,71,75,3,High-Value Trendsetters
133,Female,25,72,34,1,Average Customers
134,Female,31,72,71,0,Young Enthusiasts
135,Male,20,73,5,4,Affluent Conservatives
136,Female,29,73,88,0,Young Enthusiasts
137,Female,44,73,7,2,Cautious Seniors
138,Male,32,73,73,3,High-Value Trendsetters
139,Male,19,74,10,4,Affluent Conservatives
140,Female,35,74,72,0,Young Enthusiasts
141,Female,57,75,5,2,Cautious Seniors
142,Male,32,75,93,3,High-Value Trendsetters
143,Female,28,76,40,1,Average Customers
144,Female,32,76,87,0,Young Enthusiasts
145,Male,25,77,12,4,Affluent Conservatives
146,Male,28,77,97,3,High-Value Trendsetters
147,Male,48,77,36,4,Affluent Conservatives
148,Female,32,77,74,0,Young Enthusiasts
149,Female,34,78,22,1,Average Customers
150,Male,34,78,90,3,High-Value Trendsetters
151,Male,43,78,17,4,Affluent Conservatives
152,Male,39,78,88,3,High-Value Trendsetters
153,Female,44,78,20,2,Cautious Seniors
154,Female,38,78,76,0,Young Enthusiasts
155,Female,47,78,16,2,Cautious Seniors
156,Female,27,78,89,0,Young Enthusiasts
157,Male,37,78,1,4,Affluent Conservatives
158,Female,30,78,78,0,Young Enthusiasts
159,Male,34,78,1,4,Affluent Conservatives
160,Female,30,78,73,0,Young Enthusiasts
161,Female,56,79,35,2,Cautious Seniors
162,Female,29,79,83,0,Young Enthusiasts
163,Male,19,81,5,4,Affluent Conservatives
164,Female,31,81,93,0,Young Enthusiasts
165,Male,50,85,26,4,Affluent Conservatives
166,Female,36,85,75,0,Young Enthusiasts
167,Male,42,86,20,4,Affluent Conservatives
168,Female,33,86,95,0,Young Enthusiasts
169,Female,36,87,27,1,Average Customers
170,Male,32,87,63,3,High-Value Trendsetters
171,Male,40,87,13,4,Affluent Conservatives
172,Male,28,87,75,3,High-Value Trendsetters
173,Male,36,87,10,4,Affluent Conservatives
174,Male,36,87,92,3,High-Value Trendsetters
175,Female,52,88,13,4,Affluent Conservatives
176,Female,30,88,86,0,Young Enthusiasts
177,Male,58,88,15,4,Affluent Conservatives
178,Male,27,88,69,3,High-Value Trendsetters
179,Male,59,93,14,4,Affluent Conservatives
180,Male,35,93,90,3,High-Value Trendsetters
181,Female,37,97,32,4,Affluent Conservatives
182,Female,32,97,86,3,High-Value Trendsetters
183,Male,46,98,15,4,Affluent Conservatives
184,Female,29,98,88,3,High-Value Trendsetters
185,Female,41,99,39,4,Affluent Conservatives
186,Male,30,99,97,3,High-Value Trendsetters
187,Female,54,101,24,4,Affluent Conservatives
188,Male,28,101,68,3,High-Value Trendsetters
189,Female,41,103,17,4,Affluent Conservatives
190,Female,36,103,85,3,High-Value Trendsetters
191,Female,34,103,23,4,Affluent Conservatives
192,Female,32,103,69,3,High-Value Trendsetters
193,Male,33,113,8,4,Affluent Conservatives
194,Female,38,113,91,3,High-Value Trendsetters
195,Female,47,120,16,4,Affluent Conservatives
196,Female,35,120,79,3,High-Value Trendsetters
197,Female,45,126,28,4,Affluent Conservatives
198,Male,32,126,74,3,High-Value Trendsetters
199,Male,32,137,18,4,Affluent Conservatives
200,Male,30,137,83,3,High-Value Trendsetters
